difficulty_scenario,examiner_scenario,metric,scenario,mean_rate,sd_rate,q025,q975,true_rate,ratio_to_truth,n_studies
Low,Low,FPR,"Convenience sample (""reweighted"")",0.0037208540157642137,0.0022563906027046354,0,0.00849400937253387,0.009309664694280078,0.39967648008314755,200
Low,Low,FPR,Convenience sample (naive),0.0034757160665987914,0.0021308058979170657,0,0.008054505327520398,0.009309664694280078,0.3733449249503363,200
Low,Low,FPR,Full-coverage study (reweighted),0.008979711305540523,0.003915157874477763,0.0023894443367577694,0.016700149094559767,0.009309664694280078,0.9645579728620859,200
Low,Low,FPR,"Random pair (""reweighted"")",0.0087900926379294,0.005122194009604371,0.001399886877828054,0.021263724760221963,0.009309664694280078,0.9441900354725012,200
Low,Low,FPR,Random pair (naive),0.008946692304593665,0.00482641991017891,0.0013599530721379461,0.01872173442620399,0.009309664694280078,0.961011228480718,200
Low,Medium,FNR,"Convenience sample (""reweighted"")",0.007058861361552291,0.0030629313677553918,0.0015223443223443222,0.013345912735254747,0.018821138211382114,0.3750496533351757,200
Low,Medium,FNR,Convenience sample (naive),0.006615966959181288,0.002885933728009725,0.0013455365927529557,0.012578167237340064,0.018821138211382114,0.35151789891114404,200
Low,Medium,FNR,Full-coverage study (reweighted),0.01738408221685871,0.006523619483827651,0.007133422193889042,0.031172886409978166,0.018821138211382114,0.9236467009389293,200
Low,Medium,FNR,"Random pair (""reweighted"")",0.017018563641683294,0.008276243968181104,0.0042700053705692805,0.03521933519364367,0.018821138211382114,0.9042260595797171,200
Low,Medium,FNR,Random pair (naive),0.017594254480802415,0.008181364090053517,0.004205124017752503,0.03581106230237992,0.018821138211382114,0.9348135210102363,200
Low,Medium,FPR,"Convenience sample (""reweighted"")",0.00392333417558351,0.002148467681994083,0.0010191637630662027,0.008283551504622729,0.009015748031496063,0.43516457668044173,200
Low,Medium,FPR,Convenience sample (naive),0.0036942508911883875,0.0020121822908250203,0.0012081784386617108,0.008045350871768383,0.009015748031496063,0.4097553390226421,200
Low,Medium,FPR,Full-coverage study (reweighted),0.010137883634709586,0.004903627103663755,0.0014044028109707525,0.020317521720479664,0.009015748031496063,1.1244639490027226,200
Low,Medium,FPR,"Random pair (""reweighted"")",0.009711846528053326,0.005370983607395943,0.002152425876010782,0.02279878959586907,0.009015748031496063,1.077209178220762,200
Low,Medium,FPR,Random pair (naive),0.009917914059854139,0.005011825608507982,0.0025895199673034584,0.021834290357803213,0.009015748031496063,1.1000655769445202,200
Medium,High,FNR,"Convenience sample (""reweighted"")",0.005557790628841554,0.002785991513857382,0.0011704108092496438,0.010266413911321976,0.026504065040650407,0.20969578139494208,200
